question,context_precision,context_recall,lens_metadata
"What laptops are suitable for video editing and creative work?",1,0.5,
"Which monitors support USB-C connectivity for powering a laptop?",1,0,
"What are the best ergonomic office chairs with lumbar support?",0.5417,1,
"Which gaming laptops have dedicated NVIDIA graphics cards?",0.2667,0,
"What standing desks have electric motors and memory presets?",0.4167,0,
"Which network switches support PoE for powering access points?",1,0.25,
"What routers support Wi-Fi 6E with a 6GHz band?",1,1,
"Which monitors are designed for professional photo and video color work?",0.95,0.3333,
"What office chairs are suitable for larger or taller users?",1,0.5,
"Which products are currently discontinued or have limited stock?",0,0,
"AGGREGATE",0.7175,0.3583,"{""pipeline"":{""vector"":true,""bm25"":false,""rrf"":true,""rerank"":true},""k"":10,""exported_at"":""2026-04-28_01-40""}"
